FCLTY_ID,FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,SEARCH_MT,SEARCH_CO,RANK_CO,FILE_NM,BASE_DE
"KC594PO23N000000001","쇠소깍축제","126.6107448","33.26819982","제주특별자치도","서귀포시","5013010900","신효동","5013055000","효돈동",,,"2023-12-01","17.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000002","수선화축제","126.2587574","34.9899521","전라남도","신안군","4691025031","지도읍","4691025000","지도읍","469104706162","전라남도 신안군 지도읍 선도길 151-19","2023-12-01","130.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000003","2014 안양시민축제","126.9613302","37.39013727","경기도","안양시 동안구","4117310300","평촌동","4117357600","평안동","411733183003","경기도 안양시 동안구 관평로 149","2023-12-01","30.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000004","2015 안양 시민축제","126.9613302","37.39013727","경기도","안양시 동안구","4117310300","평촌동","4117357600","평안동","411733183003","경기도 안양시 동안구 관평로 149","2023-12-01","30.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000005","2016 대가야체험축제","128.2601559","35.72107614","경상북도","고령군","4783025326","대가야읍","4783025300","대가야읍","478303320005","경상북도 고령군 대가야읍 대가야로 1216","2023-12-01","16.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000006","2016 대구약령시한방문화축제","128.593426","35.867194","대구광역시","중구","2711011900","동성로3가","2711057500","성내2동","271102007001","대구광역시 중구 동성로3가 중앙대로 379-2","2023-12-01","60.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000007","2016 안양 시민축제","126.9613302","37.39013727","경기도","안양시 동안구","4117310300","평촌동","4117357600","평안동","411733183003","경기도 안양시 동안구 관평로 149","2023-12-01","30.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000008","2016 제5회 안양공공예술프로젝트","126.925606","37.4194056","경기도","안양시 만안구","4117110100","안양동","4117152000","안양2동","411713183019","경기도 안양시 만안구 예술공원로 180","2023-12-01","70.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000009","2016 평생학습 박람회 & 제6회 도서관책문화축제","126.8191276","37.29840309","경기도","안산시 상록구","4127110300","사동","4127153700","해양동","412713190077","경기도 안산시 상록구 해양1로 30","2023-12-01","80.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000010","2017 겨울공주군밤축제","127.124038","36.43336915","충청남도","공주시","4415011000","금학동","4415055000","금학동","441504553692","충청남도 공주시 수원지공원길 74","2023-12-01","2280.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000011","2017 대구약령시한방문화축제","128.593426","35.867194","대구광역시","중구","2711011900","동성로3가","2711057500","성내2동","271102007001","대구광역시 중구 동성로3가 중앙대로 379-2","2023-12-01","60.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000012","2017 안양 시민축제","126.9613302","37.39013727","경기도","안양시 동안구","4117310300","평촌동","4117357600","평안동","411733183003","경기도 안양시 동안구 관평로 149","2023-12-01","30.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000013","2017 얼음나라화천 산천어축제","127.709826","38.112578","강원도","화천군","4279025023","화천읍","4279025000","화천읍","517904493062","강원도 화천군 화천읍 산천어길 137","2023-12-01","59880.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
"KC594PO23N000000014","2017 영동곶감축제","127.7739921","36.1736274","충청북도","영동군","4374025028","영동읍","4374025000","영동읍","437403243054","충청북도 영동군 영동읍 학산영동로 1244-1","2023-12-01","10280.0","1","KC_594_WNTY_FSTV_TRND_MAP_2023","20231231"
